单词                  |音标                  |词性&词义               
sixpence              |/ˈsɪkspəns/           |< n. > - [英]六便士(硬币) ;
sixteen               |/ˌsɪksˈtiːn/          |< num. > - 十六 ;
sixth                 |/sɪksθ/               |< n. > - 六分之一；六度音 ;
sixty                 |/ˈsɪksti/             |< n. > - 六十 ;
size                  |/saɪz/                |< n. > - 大小；规模；尺寸；尺码；浆料；胶料 ;
skate                 |/skeɪt/               |< v. > - 溜冰；滑冰 ;
skeleton              |/ˈskelɪtn/            |< n. > - 骨架；纲要；骨骼；骨瘦如柴的人或动物；家丑 ;
sketch                |/skɛtʃ/               |< n. > - 速写；素描；草图；概述 ;
ski                   |/skiː/                |< v. > - 滑雪 ;
skier                 |/ˈskiːər/             |< n. > - 滑雪者 ;
skill                 |/skɪl/                |< n. > - 技能；技艺；技巧；熟练 ;
skilled               |/skɪld/               |< adj. > - 有技能的；熟练的 ;
skillful              |/ˈskɪlfəl/            |< adj. > - 熟练的；灵巧的 ;
skim                  |/skɪm/                |< vt. > - 撇去；略读；掠过；滑过 ;
skin                  |/skɪn/                |< n. > - 皮肤；外皮；皮囊 ;
skirt                 |/skɜːrt/              |< n. > - 裙子；下摆；边缘；郊区；挡板 ;
sky                   |/skaɪ/                |< n. > - 天空；天气；天国 ;
slam                  |/slæm/                |< v. > - 砰地关上；猛放；猛烈攻击 ;
slave                 |/sleɪv/               |< n. > - 奴隶；像奴隶般受制的人；【机】从动装置 ;
slavery               |/ˈsleɪvəri/           |< n. > - 奴役；奴隶制；奴隶身份 ;
sleep                 |/sliːp/               |< v. > - 睡觉 ;
sleeping              |/'sliːpɪŋ/            |< adj. > - 睡着的 ;
sleepy                |/ˈsliːpi/             |< adj. > - 欲睡的；困倦的 ;
sleeve                |/sliːv/               |< n. > - 套管；袖子 ;
slender               |/ˈslendər/            |< adj. > - 细长的；苗条的；微薄的；少量的 ;
slice                 |/slaɪs/               |< n. > - 薄片；部分；曲球 ;
slide                 |/slaɪd/               |< vi. > - 滑动；下滑；滑入；悄悄地溜走 ;
slight                |/slaɪt/               |< adj. > - 轻微的；纤弱的；微小的 ;
slightly              |/ˈslaɪtli/            |< adv. > - 些微地；稍微；瘦小地 ;
slip                  |/slɪp/                |< v. > - 滑倒；滑脱；疏忽；溜走 ;
slipper               |/ˈslɪpər/             |< n. > - 拖鞋 ;
slippery              |/ˈslɪpəri/            |< adj. > - 滑的；狡猾的；不可靠的 ;
slit                  |/slɪt/                |< n. > - 裂缝；狭长的切口 ;
slogan                |/ˈsloʊɡən/            |< n. > - 口号；标语 ;
slope                 |/sloʊp/               |< n. > - 倾斜；斜坡；斜面；斜率；斜线 ;
slow                  |/sloʊ/                |< adj. > - 慢的 ;
slowly                |/ˈsloʊli/             |< adv. > - 缓慢地 ;
slum                  |/slʌm/                |< n. > - 贫民窟 ;
sly                   |/slaɪ/                |< adj. > - 狡猾的；会心的；淘气的；诡异的 ;
small                 |/smɔːl/               |< adj. > - 小的；年幼的；少的；不重要的；小气的 ;
smart                 |/smɑːrt/              |< adj. > - 时髦的；漂亮的；聪明的；敏捷的；整洁的；厉害的 ;
smash                 |/smæʃ/                |< v. > - 打碎；粉碎；猛撞 ;
smell                 |/smel/                |< n. > - 气味；嗅觉；嗅 ;
smile                 |/smaɪl/               |< n. > - 微笑；笑容 ;
smog                  |/smɑːɡ/               |< n. > - 烟雾 ;
smoke                 |/smoʊk/               |< n. > - 烟；抽烟；无常的事物 ;
smooth                |/smuːð/               |< adj. > - 光滑的；平稳的；流畅的；圆滑的；可口的；安祥的；均匀的 ;
smoothly              |/ˈsmuːðli/            |< adv. > - 平滑地；流畅地 ;
smuggler              |/ˈsmʌɡlər/            |< n. > - 走私者 ;
snail                 |/sneɪl/               |< n. > - 蜗牛 ;
snake                 |/sneɪk/               |< n. > - 蛇；狡诈的人 ;
snap                  |/snæp/                |< v. > - 劈啪作响；崩塌；砰然关上；猛咬；谩骂；拍摄 ;
snatch                |/snætʃ/               |< n. > - 抢夺；一阵；一点点 ;
sneer                 |/snɪr/                |< n. > - 冷笑；嘲笑 ;
snob                  |/snɑːb/               |< n. > - 势利小人；自命不凡的人 ;
snow                  |/snoʊ/                |< n. > - 雪；积雪；下雪 ;
snowstorm             |/ˈsnoʊstɔːrm/         |< n. > - 暴风雪；雪暴 ;
snowy                 |/ˈsnoʊi/              |< adj. > - 多雪的；被雪所覆盖著的；下雪的 ;
so                    |/soʊ/                 |< adv. > - 那么；这样；如此 ;
soak                  |/soʊk/                |< vt. > - 使浸透；吸入；浸洗；<俚>使喝醉；敲竹杠 ;
soap                  |/soʊp/                |< n. > - 肥皂；肥皂剧 ;
soar                  |/sɔːr/                |< vi. > - 翱翔；高飞；猛增；高涨；高耸 ;
sob                   |/sɑːb/                |< v. > - 抽泣；呜咽 ;
sober                 |/ˈsoʊbər/             |< adj. > - 清醒的；稳重的；沉着冷静的；颜色暗淡的 ;
so-called             |/soʊ kɔːld/           |< adj. > - <贬>号称的；所谓的 ;
soccer                |/ˈsɑːkər/             |< n. > - 足球，英式足球 ;
social                |/ˈsoʊʃl/              |< adj. > - 社会的；社会阶层的；群居的；社交的；好交际的；合群的 ;
socialism             |/ˈsoʊʃəlɪzəm/         |< n. > - 社会主义 ;
socialist             |/ˈsoʊʃəlɪst/          |< adj. > - 社会主义的 ;
society               |/səˈsaɪəti/           |< n. > - 社会；(共同遵守一定的习俗、法律等的）特定群体；社团；协会；上层社会；社交圈；交往 ;
sock                  |/sɑːk/                |< n. > - 短袜 ;
soda                  |/ˈsoʊdə/              |< n. > - 汽水；苏打 ;
soft                  |/sɔːft/               |< adj. > - 柔软的；柔和的；温和的；不强烈的；轻的 ;
softly                |/ˈsɔːftli/            |< adv. > - 柔和地；静静地；温柔地 ;
soil                  |/sɔɪl/                |< n. > - 土地；土壤；污物，粪便 ;
solar                 |/ˈsoʊlər/             |< adj. > - 太阳的；太阳能的 ;
soldier               |/ˈsoʊldʒər/           |< n. > - 士兵；军人 ;
sole                  |/soʊl/                |< adj. > - 独占的；唯一的 ;
solely                |/ˈsoʊlli/             |< adv. > - 独自地；单独地；完全 ;
solemn                |/ˈsɑːləm/             |< adj. > - 庄严的；严肃的；隆重的 ;
solid                 |/ˈsɑːlɪd/             |< adj. > - 固体的；实心的；结实的；可靠的 ;
solitude              |/ˈsɑːlətuːd/          |< n. > - 孤独；独居；荒僻之地；幽静的地方 ;
soluble               |/ˈsɑːljəbl/           |< adj. > - 可溶解的；可解决的 ;
solution              |/səˈluːʃn/            |< n. > - 解决办法；解答；溶液；溶解；设计 ;
solve                 |/sɑːlv/               |< v. > - 解决；解答 ;
some                  |/səm/                 |< adj. > - 一些；若干 ;
somebody              |/ˈsʌmbədi/            |< pron. > - 某人；有人 ;
somehow               |/ˈsʌmhaʊ/             |< adv. > - 以某种方式；不知怎么地 ;
someone               |/ˈsʌmwʌn/             |< pron. > - 某人；有人 ;
something             |/ˈsʌmθɪŋ/             |< pron. > - 某事物；有价值或重要的人或事物；大致；左右 ;
sometime              |/ˈsʌmtaɪm/            |< adj. > - 以前的 ;
sometimes             |/ˈsʌmtaɪmz/           |< adv. > - 有时；间或 ;
somewhat              |/ˈsʌmwʌt/             |< adv. > - 稍微；有些；多少；几分 ;
somewhere             |/ˈsʌmwer/             |< adv. > - 在某处；到某种程度；大约 ;
son                   |/sʌn/                 |< n. > - 儿子；孩子（长者对后辈的称呼） ;
song                  |/sɔːŋ/                |< n. > - 歌曲；歌唱；(鸟等)鸣声 ;
soon                  |/suːn/                |< adv. > - 不久；很快；早；快 ;
sophisticated         |/səˈfɪstɪkeɪtɪd/      |< adj. > - 老练的；精密的；复杂的；久经世故的 ;
sore                  |/sɔːr/                |< adj. > - 疼痛的；痛心的；恼火的；严重的 ;
sorrow                |/ˈsɑːroʊ/             |< n. > - 悲伤；悲痛；懊悔；伤心事 ;
sorry                 |/ˈsɑːri/              |< adj. > - 对不起的；抱歉的；难过的；遗憾的 ;
sort                  |/sɔːrt/               |< n. > - 种类；某一种人 ;
soul                  |/soʊl/                |< n. > - 灵魂；心灵；精神 ;
sound                 |/saʊnd/               |< n. > - 声音；嘈杂声；音乐风格；曲调；印象；感觉；海峡；鱼鳔；探针 ;
soundly               |/ˈsaʊndli/            |< adv. > - 完全地；健全地；坚牢地；香甜地 ;
soup                  |/suːp/                |< n. > - 汤；羹 ;
sour                  |/ˈsaʊər/              |< adj. > - 酸的；酸腐的；刻薄的 ;
source                |/sɔːrs/               |< n. > - 来源；发源地；原始资料 ;
south                 |/saʊθ/                |< n. > - 南；南方 ;
Southampton           |/saʊθˈhæmptənˌ saʊˈθæmp-/|< n. > - 南安普敦(英国港市) ;
southeast             |/ˌsaʊθ'iːst/          |< n. > - 东南；东南地区 ;
southern              |/ˈsʌðərn/             |< adj. > - 南部的；南方的 ;
southwest             |/ˌsaʊθ'west/          |< n. > - 西南；西南风；西南地区 ;
Soviet                |/ˈsoʊviet/            |< adj. > - 苏联的；苏维埃的 ;
sow                   |/saʊ/                 |< v. > - 播种；散布 ;
space                 |/speɪs/               |< n. > - 空间；处所；太空；空地；空闲；空格；间隙 ;
spacecraft            |/ˈspeɪskræft/         |< n. > - 宇宙飞船 ;
spaceship             |/ˈspeɪsʃɪp/           |< n. > - 宇宙飞船 ;
spacious              |/ˈspeɪʃəs/            |< adj. > - 宽敞的；广阔的 ;
spade                 |/speɪd/               |< n. > - 铲子；铁锹 ;
span                  |/spæn/                |< n. > - 时期；跨度；间距 ;
Spanish               |/ˈspænɪʃ/             |< adj. > - 西班牙的；西班牙人的；西班牙语的 ;
spare                 |/sper/                |< adj. > - 备用的；多余的；闲置的 ;
spark                 |/spɑːrk/              |< vi. > - 闪烁；冒火花；热情回应 ;
sparkle               |/ˈspɑːrkl/            |< n. > - 闪耀；火花 ;
sparrow               |/ˈspæroʊ/             |< n. > - 麻雀 ;
sparsely-populated    |/s'pɑːsliːp'ɒpjʊleɪtɪd/|< adj. > - 人口稀少的 ;
speak                 |/spiːk/               |< v. > - 讲；说话；演说；发言 ;
speaker               |/ˈspiːkər/            |< n. > - 说话者；发言者；说某种语言者；扬声器 ;
spear                 |/spɪr/                |< n. > - 矛；标枪 ;
special               |/ˈspeʃl/              |< adj. > - 特别的；特殊的；专门的 ;
specialist            |/ˈspeʃəlɪst/          |< n. > - 专家；专科医生；专食性动物 ;
speciality            |/ˌspeʃiˈæləti/        |< n. > - 专长 ;
specialize            |/ˈspeʃəlaɪz/          |< v. > - 专攻 ;
specially             |/ˈspeʃəli/            |< adv. > - 特别地；专门地；尤其 ;
specific              |/spəˈsɪfɪk/           |< adj. > - 明确的；特殊的；具有特效的 ;
specify               |/ˈspesɪfaɪ/           |< v. > - 详细说明；指定；阐述 ;
specimen              |/ˈspesɪmən/           |< n. > - 标本；样本 ;
spectacle             |/ˈspektəkl/           |< n. > - 景象；场面；奇观；壮观；公开展示；表相，假相 ;
speculation           |/ˌspekjuˈleɪʃn/       |< n. > - 推测；投机；沉思 ;
speech                |/spiːtʃ/              |< n. > - 演说；演讲；言语；语言能力 ;
speed                 |/spiːd/               |< n. > - 速度；迅速 ;
speedboat             |/ˈspiːdboʊt/          |< n. > - 快艇 ;
spell                 |/spel/                |< v. > - 拼写；拼成；导致；暂时代替 ;
spelling              |/ˈspelɪŋ/             |< n. > - 拼法；拼写 ;
spend                 |/spend/               |< n. > - 预算；花销 ;
sperm                 |/spɜːrm/              |< n. > - 精液；精子；与抹香鲸有关的物质(如鲸脑油) ;
sphere                |/sfɪr/                |< n. > - 范围；领域；球；球体；天体 ;
spider                |/ˈspaɪdər/            |< n. > - 蜘蛛；十字叉；三脚架；长柄平底锅 ;
spill                 |/spɪl/                |< v. > - 溢出；洒；使  ;
spin                  |/spɪn/                |< v. > - (使)旋转；疾驰；纺织；结网；眩晕 ;
spire                 |/ˈspaɪər/             |< n. > - (教堂的)尖塔；尖顶；螺旋 ;
spirit                |/ˈspɪrɪt/             |< n. > - 精神；心灵；幽灵；精灵 ;
spiritual             |/ˈspɪrɪtʃuəl/         |< adj. > - 精神的；心灵的；与上帝有关的 ;
spit                  |/spɪt/                |< n. > - 唾液；小雨；烤肉叉；海峡；酷似；彻底的擦洗 ;
splash                |/splæʃ/               |< n. > - 溅泼（声）；溅泼的量；溅污的斑点；骚动；少许 ;
splendid              |/ˈsplendɪd/           |< adj. > - 极好的；辉煌的；壮观的；杰出的 ;
split                 |/splɪt/               |< v. > - 分裂；将…分成若干部分；分摊；分离；劈开；裂开；<俚>离开 ;
spoil                 |/spɔɪl/               |< v. > - 宠坏；溺爱；破坏；腐坏；使索然无味 ;
spokesman             |/ˈspoʊksmən/          |< n. > - 发言人 ;
sponge                |/spʌndʒ/              |< n. > - 海绵 ;
sponsor               |/ˈspɑːnsər/           |< n. > - 保证人；赞助者；发起者；主办者 ;
spontaneous           |/spɑːnˈteɪniəs/       |< adj. > - 自发的，自然的，本能的；自然产生的 ;
spoon                 |/spuːn/               |< n. > - 匙；调羹；匙状物 ;
sport                 |/spɔːrt/              |< n. > - 运动；体育 ;
sportsman             |/ˈspɔːrtsmən/         |< n. > - 运动员 ;
spot                  |/spɑːt/               |< n. > - 地点；场所；职位；污点；斑点；少量；聚光灯；插播节目 ;
spray                 |/spreɪ/               |< v. > - 喷雾；喷射；扫射 ;
spread                |/spred/               |< v. > - 传播；展开；散布；铺开；伸展；涂撒 ;
spring                |/sprɪŋ/               |< n. > - 春天；春季；弹簧；弹力；跳；泉水；源头 ;
springtime            |/ˈsprɪŋtaɪm/          |< n. > - 春季；青春期；初期 ;
sprinkle              |/ˈsprɪŋkl/            |< v. > - 洒；撒；下稀疏小雨 ;
spur                  |/spɜːr/               |< n. > - 支脉；刺激；马刺；鞭策 ;
spy                   |/spaɪ/                |< n. > - 间谍；侦探；侦察 ;
square                |/skwer/               |< n. > - 正方形；广场；街区；平方；直角尺；<俚>古板的人 ;
squeeze               |/skwiːz/              |< v. > - 挤压；塞进；压榨；设法腾出 ;
squint                |/skwɪnt/              |< vi. > - 眯眼看；斜视；窥视；偏移 ;
squirrel              |/ˈskwɜːrəl/           |< n. > - 松鼠；松鼠皮毛 ;
stab                  |/stæb/                |< v. > - 刺；戳；刺伤 ;
stability             |/stəˈbɪləti/          |< n. > - 稳定性；居于修道院 ;
stable                |/ˈsteɪbl/             |< adj. > - 稳定的；安定的；可靠的 ;
stack                 |/stæk/                |< n. > - 堆；一大堆；【计】存储栈；迭式存储器，栈式存储器；存储栈数据 ;
stadium               |/ˈsteɪdiəm/           |< n. > - 体育场；运动场；[生]期 ;
staff                 |/stæf/                |< n. > - 员工；全体人员；全体职员；拐杖；杆；棒；五线谱 ;
stage                 |/steɪdʒ/              |< n. > - 舞台；戏剧；阶段；步骤；行程 ;
stagger               |/ˈstæɡər/             |< vi. > - 蹒跚；犹豫；动摇 ;
stain                 |/steɪn/               |< n. > - 污点；瑕疵；着色剂；染料 ;
stair                 |/ster/                |< n. > - 楼梯 ;
staircase             |/ˈsterkeɪs/           |< n. > - 楼梯 ;
stake                 |/steɪk/               |< n. > - 桩；赌注；利害关系 ;
stalactite            |/stəˈlæktaɪt/         |< n. > - 钟乳石 ;
stalagmite            |/stəˈlæɡmaɪt/         |< n. > - 石笋 ;
stale                 |/steɪl/               |< adj. > - 不新鲜的；陈腐的；厌倦的 ;
stalk                 |/stɔːk/               |< n. > - 茎；梗 ;
stall                 |/stɔːl/               |< n. > - 栅栏；小隔间；货摊；座位 ;
stamp                 |/stæmp/               |< n. > - 邮票；图章；印；跺脚 ;
stand                 |/stænd/               |< v. > - 站立；忍受；位于；停滞 ;
standard              |/ˈstændərd/           |< n. > - 标准；规格；水准；军旗 ;
standpoint            |/ˈstændpɔɪnt/         |< n. > - 立场；观点 ;
star                  |/stɑːr/               |< n. > - 星；明星 ;
stare                 |/ster/                |< v. > - 盯着看；凝视 ;
start                 |/stɑːrt/              |< v. > - 开始；出发；震惊 ;
startle               |/ˈstɑːrtl/            |< v. > - （使）吃惊；（使）惊愕 ;
starve                |/stɑːrv/              |< vi. > - 挨饿；受饿；极度匮乏 ;
state                 |/steɪt/               |< n. > - 情形；状态；国家；州；政府 ;
statement             |/ˈsteɪtmənt/          |< n. > - 陈述；声明；【计】语句 ;
statesman             |/ˈsteɪtsmən/          |< n. > - 政治家 ;
static                |/ˈstætɪk/             |< adj. > - 静态的；静止的；稳定的；静力的；静电的 ;
station               |/ˈsteɪʃn/             |< n. > - 站；火车站；电视台；社会地位；牧羊场；驻地；岗位 ;
station-master        |/s'teɪʃnm'ɑːstər/     |< n. > - 火车站站长 ;
statistical           |/stəˈtɪstɪkl/         |< adj. > - 统计的；统计学的 ;
statistics            |/stə'tɪstɪks/         |< n. > - 统计学；统计；统计数字 ;
statue                |/ˈstætʃuː/            |< n. > - 雕像；塑像 ;
status                |/ˈsteɪtəs/            |< n. > - 地位；情形；状况，状态；身份 ;
stay                  |/steɪ/                |< v. > - 停留；逗留；保持 ;
steadily              |/ˈstedəlɪ/            |< adv. > - 稳定地；稳固地；逐步地 ;
steady                |/ˈstedi/              |< adj. > - 稳定的；稳固的；坚定的 ;
steal                 |/stiːl/               |< v. > - 偷；窃取 ;
steam                 |/stiːm/               |< n. > - 蒸汽；水汽；蒸汽动力；轮船 ;
steamer               |/ˈstiːmər/            |< n. > - 汽船；轮船；蒸笼；[动]沙海螂 ;
steel                 |/stiːl/               |< n. > - 钢铁；钢制品；钢铁般的性质 ;
steep                 |/stiːp/               |< adj. > - 险峻的；陡峭的；急剧的、大起大落的 ;
steer                 |/stɪr/                |< v. > - 操纵；驾驶；掌舵；引导 ;
stem                  |/stem/                |< n. > - 柄；茎；干；船首 ;
step                  |/step/                |< n. > - 步骤；台阶；舞步；步伐 ;
stern                 |/stɜːrn/              |< adj. > - 严厉的；严峻的；苛刻的；坚决的 ;
steward               |/ˈstuːərd/            |< n. > - 乘务员；管家；干事；管理员 ;
stewardess            |/ˈstuːərdəs/          |< n. > - 女乘务员；女管家 ;
stick                 |/stɪk/                |< n. > - 手杖；枝；杆 ;
sticky                |/ˈstɪki/              |< adj. > - 粘的；闷热的；困难的；令人不满意的 ;
stiff                 |/stɪf/                |< adj. > - 硬的；僵直的；艰难的；生硬的；拘谨的；烈性的 ;
stiffen               |/ˈstɪfn/              |< v. > - 使  ;
still                 |/stɪl/                |< adj. > - 静止的；不动的；静寂的 ;
stimulate             |/ˈstɪmjuleɪt/         |< vt. > - 刺激；激励；鼓舞 ;
sting                 |/stɪŋ/                |< vt. > - 刺痛；使苦恼；欺诈 ;
stir                  |/stɜːr/               |< vt. > - 激起；惹起；搅和 ;
stitch                |/stɪtʃ/               |< n. > - 一针；疼痛；碎布条 ;
stock                 |/stɑːk/               |< n. > - 存货；储备；树干；股票；股份；家畜；血统；汤汁；声望 ;
stocking              |/ˈstɑːkɪŋ/            |< n. > - 长袜，（女用）长筒袜 ;
stomach               |/ˈstʌmək/             |< n. > - 胃；胃口；腹部 ;
stone                 |/stoʊn/               |< n. > - 【U】石料 ;
stony                 |/ˈstoʊni/             |< adj. > - 石头的；多石的；铁石心肠的；<古>石造的 ;
stool                 |/stuːl/               |< n. > - 凳子；搁脚凳；便桶；大便 ;
stoop                 |/stuːp/               |< n. > - 佝偻；弯腰；屈尊；俯冲 ;
stop                  |/stɑːp/               |< v. > - 停止；阻止；停留 ;
storage               |/ˈstɔːrɪdʒ/           |< n. > - 保管；贮藏；仓库；保管费；[计]存储器 ;
store                 |/stɔːr/               |< n. > - 商店；贮藏；充裕 ;
store-room            |/'stɒ 'rʊm/           |< n. > - 贮藏室 ;
storey                |/ˈstɔːri/             |< n. > - 楼层 ;
storm                 |/stɔːrm/              |< n. > - 暴风雨 ;
stormy                |/ˈstɔːrmi/            |< adj. > - 暴风雨的；激烈的；粗暴的 ;
story                 |/ˈstɔːri/             |< n. > - 故事；传说；谎言；叙述；新闻报道；情节 ;
stoutly               |/staʊtli/             |< adv. > - 牢固地；粗壮地；坚决地；勇敢地 ;
stove                 |/stoʊv/               |< n. > - 炉子；窑；【主英】温室 ;
straggling            |/'stræglɪŋ/           |< adj. > - 离散的；混乱的；断续的；落后的 ;
straight              |/streɪt/              |< adj. > - 直的；坦率的；正直的；准的；连续的；异性恋的 ;
strain                |/streɪn/              |< n. > - 拉紧；紧张；血统；笔调；（动植物或疾病的）品种 ;
strange               |/streɪndʒ/            |< adj. > - 奇怪的；陌生的；生疏或不自在的 ;
stranger              |/ˈstreɪndʒər/         |< n. > - 陌生人；外地人；新手 ;
strap                 |/stræp/               |< n. > - 皮带；带子 ;
strategy              |/ˈstrætədʒi/          |< n. > - 策略；战略 ;
straw                 |/strɔː/               |< n. > - 稻草；吸管；麦杆；不值钱的东西 ;
strawberry            |/ˈstrɔːberi/          |< n. > - 草莓 ;
stray                 |/streɪ/               |< n. > - 走失的家畜；浪子 ;
stream                |/striːm/              |< n. > - (小)河；水流；(人；车；气)流；组 ;
street                |/striːt/              |< n. > - 街道；马路 ;
strength              |/streŋθ/              |< n. > - 力气；强度；力量；长处 ;
strengthen            |/ˈstreŋθn/            |< v. > - 加强；变坚固 ;
stress                |/stres/               |< n. > - 压力；强调；重音 ;
stretch               |/stretʃ/              |< v. > - 伸展；延伸；张开；夸大 ;
strict                |/strɪkt/              |< adj. > - 严格的；精确的；完全的 ;
strictly              |/ˈstrɪktli/           |< adv. > - 严格地；完全地 ;
strike                |/straɪk/              |< n. > - 罢工；打击；殴打 ;
string                |/strɪŋ/               |< n. > - 线；弦；一串；字串 ;
strip                 |/strɪp/               |< v. > - 剥去；剥夺；脱衣；除去 ;
stripe                |/straɪp/              |< n. > - 条纹；条纹布；种类；军士军阶 ;
stroke                |/stroʊk/              |< n. > - 中风；击打；一笔（画）；意外的运气 ;
stroll                |/stroʊl/              |< n. > - 闲逛；漫步 ;
strong                |/strɔːŋ/              |< adj. > - 强烈的；坚强的；强壮的；强劲的；强大的；确凿的；有影响力的；坚定的；浓的；浓烈的；结实的；可能性大的；擅长的；大量的；稳固的；坚挺的；景气的；强硬的；重读的 ;
strongly              |/strɒŋli/             |< adv. > - 强有力地；坚强地；激烈地；气味浓地 ;
strong-minded         |/strɔːŋ ˈmaɪndɪd/     |< adj. > - 意志坚强的 ;
structural            |/ˈstrʌktʃərəl/        |< adj. > - 结构的；构造的；建筑的；建筑用的 ;
structure             |/ˈstrʌktʃər/          |< n. > - 结构；构造；建筑物 ;
struggle              |/ˈstrʌɡl/             |< vi. > - 努力；奋斗；斗争；挣扎 ;
student               |/ˈstuːdnt/            |< n. > - 学生；学者 ;
studio                |/ˈstuːdioʊ/           |< n. > - 画室；工作室；播音室；制片厂；摄影场 ;
study                 |/ˈstʌdi/              |< n. > - 研究；学习；学科；书房；(绘画或文学)习作；练习曲；沉思；记忆力…的人；台词记得…的人 ;
stuff                 |/stʌf/                |< n. > - 东西；原料；材料 ;
stuffy                |/ˈstʌfi/              |< adj. > - (房间等)不通气的；(人或事物)沉闷乏味的；自负的 ;
stumble               |/ˈstʌmbl/             |< v. > - 绊倒；蹒跚；犯错误；无意中发现 ;
stupid                |/ˈstuːpɪd/            |< adj. > - 愚蠢的；笨拙的；无聊的；乏味的 ;
style                 |/staɪl/               |< n. > - 文体；风格；式样；时尚；类型 ;
subject               |/ˈsʌbdʒɪkt/           |< n. > - 话题；科目；主题；题材；主观；[语]主语 ;
submarine             |/ˌsʌbməˈriːn/         |< n. > - 潜水艇 ;
submerge              |/səbˈmɜːrdʒ/          |< vt. > - 使浸没；潜入水中；覆盖 ;
submit                |/səbˈmɪt/             |< vt. > - 使服从；使屈服；提交；递交；认为 ;
subsequent            |/ˈsʌbsɪkwənt/         |< adj. > - 随后的；后来的 ;
substance             |/ˈsʌbstəns/           |< n. > - 实质；物质；财产；内容；重要性 ;
substantial           |/səbˈstænʃl/          |< adj. > - 大量的；坚固的；实质的；可观的 ;
substitute            |/ˈsʌbstɪtuːt/         |< n. > - 代用品；代替者 ;
subtle                |/ˈsʌtl/               |< adj. > - 微妙的；敏锐的；不明显的；精细的；狡猾的 ;
subtract              |/səbˈtrækt/           |< vt. > - 减去 ;
suburb                |/ˈsʌbɜːrb/            |< n. > - 郊区 ;
subway                |/ˈsʌbweɪ/             |< n. > - 地铁；地下通道 ;
succeed               |/səkˈsiːd/            |< v. > - 成功；继承；接着发生 ;
success               |/səkˈses/             |< n. > - 成功；成就；胜利；成功的人或事 ;
successful            |/səkˈsesfl/           |< adj. > - 成功的；圆满的 ;
successfully          |/səkˈsesfəli/         |< adv. > - 成功地，圆满地 ;
succession            |/səkˈseʃn/            |< n. > - 连续；继承权；继位 ;
successive            |/səkˈsesɪv/           |< adj. > - 连续的；接连的；接二连三的 ;
such                  |/sʌtʃ/                |< adj. > - 这样的；如此的 ;
suck                  |/sʌk/                 |< vt. > - 啜；吸入；吸收 ;
sudden                |/ˈsʌdn/               |< adj. > - 突然的；出乎意料的 ;
suddenly              |/ˈsʌdənli/            |< adv. > - 突然地 ;
suffer                |/ˈsʌfər/              |< vt. > - 遭受；忍受；容忍，宽恕，听任；允许，准许 ;
suffering             |/ˈsʌfərɪŋ/            |< n. > - 痛苦；受难 ;
sufficient            |/səˈfɪʃnt/            |< adj. > - 足够的；充分的 ;
sufficiently          |/səˈfɪʃntli/          |< adv. > - 足够地；充分地 ;
sugar                 |/ˈʃʊɡər/              |< n. > - 糖，食糖；糖缸；甜言蜜语，阿谀奉承；宝贝，心肝 ;
suggest               |/səˈdʒest/            |< vt. > - 建议；暗示；使想起；表明；要求 ;
suggestion            |/səˈdʒestʃən/         |< n. > - 建议；意见；有 ;
suit                  |/suːt/                |< n. > - 套装；诉讼；请求 ;
suitable              |/ˈsuːtəbl/            |< adj. > - 适宜的；合适的 ;
suitably              |/ˈsuːtəbli/           |< adv. > - 适当地；(与期望)相符地 ;
sulphur               |/ˈsʌlfər/             |< n. > - 硫；硫磺 ;
sum                   |/sʌm/                 |< n. > - 金额；总数；要点 ;
summarize             |/ˈsʌməraɪz/           |< v. > - 概述；摘要而言 ;
summary               |/ˈsʌməri/             |< n. > - 摘要；总结 ;
summer                |/ˈsʌmər/              |< n. > - 夏天；夏季 ;
sun                   |/sʌn/                 |< n. > - 太阳；阳光；中心人物 ;
Sunday                |/ˈsʌndeɪ/             |< n. > - 星期日 ;
sunken                |/ˈsʌŋkən/             |< adj. > - 沉没的；凹陷的；低于周围平面的 ;
sunlight              |/ˈsʌnlaɪt/            |< n. > - 日光；阳光 ;
sunny                 |/ˈsʌni/               |< adj. > - 阳光充足的；睛朗的；明媚的；快活的 ;
sunrise               |/ˈsʌnraɪz/            |< n. > - 【U】日出 ;
sunset                |/ˈsʌnset/             |< n. > - 日落；衰落时期（尤指人的晚年） ;
sunshine              |/ˈsʌnʃaɪn/            |< n. > - 阳光；晴天 ;
super                 |/ˈsuːpər/             |< adj. > - 超级的；极好的 ;
superficial           |/ˌsuːpərˈfɪʃl/        |< adj. > - 表面的；肤浅的 ;
superior              |/suːˈpɪriər/          |< n. > - 上级；高手；上标 ;
supermarket           |/ˈsuːpərmɑːrkət/      |< n. > - 超级市场 ;
supper                |/ˈsʌpər/              |< n. > - 晚饭；晚餐；晚餐会 ;
supplement            |/ˈsʌplɪmənt/          |< n. > - 增刊；补充物 ;
supply                |/səˈplaɪ/             |< n. > - 供应；补给；贮备 ;
support               |/səˈpɔːrt/            |< vt. > - 支持；承受；支撑；供养；资助；证实；支援；担任演出嘉宾 ;
suppose               |/səˈpoʊz/             |< vt. > - 假设；假定；认为；想；应该；让(虚拟语气) ;
supreme               |/suːˈpriːm/           |< adj. > - 最高的；至上的；极度的 ;
sure                  |/ʃʊr/                 |< adj. > - 肯定的；确信的；必定；可靠的；沉着自信的 ;
